Tipo Muert.,Zona,Subzona,Area del Hecho,Lugar,Fecha Infraccion,Tipo Arma,Presunta Motivacion Observacion,Sexo,Estado Civil,Nacionalidad,Instruccion
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2020-01-23,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2020-01-23,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,URBANO,VIA PUBLICA,2020-01-19,CUCHILLO            ,RIÑAS,HOMBRE,CASADO,COLOMBIA,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-23,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-23,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 7,EL ORO,RURAL,CASA/VILLA,2020-01-24,NINGUNA,ROBO A DOMICILIOS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,RURAL,INTERIOR DE VEHICULO PARTICULAR,2020-01-25,,ROBO A PERSONAS,HOMBRE,CASADO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2020-01-25,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-25,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
FEMICIDIO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2020-01-25,,MALTRATO,MUJER,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 5,SANTA ELENA,URBANO,CASA/VILLA,2020-01-26,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,PARQUES Y PLAZAS,2020-01-24,NINGUNA,EMOCIONAL,HOMBRE,CASADO,ECUADOR,
HOMICIDIO,ZONA 6,AZUAY,URBANO,CASA/VILLA,2020-01-26,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,RURAL,VIA PUBLICA,2020-01-26,,MALTRATO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-27,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,RURAL,VIA PUBLICA,2020-01-26,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,BASICA
HOMICIDIO,ZONA 5,GUAYAS,URBANO,CASA/VILLA,2020-01-25,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-27,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 5,SANTA ELENA,URBANO,VIA PUBLICA,2020-01-27,,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,CASA/VILLA,2020-01-27,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),MUJER,DIVORCIADO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,CASA/VILLA,2020-01-27,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),MUJER,DIVORCIADO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,CASA/VILLA,2020-01-27,,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 6,CAÑAR,RURAL,CASA/VILLA,2020-01-29,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 9,D.M. QUITO,RURAL,VIA PUBLICA,2020-01-26,OBJETO CONTUSO,RIÑAS,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 3,COTOPAXI,RURAL,RIO,2020-01-30,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2020-01-29,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,PARQUES Y PLAZAS,2020-01-31,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,UNIVERSIDADES,2020-01-24,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2020-02-01,,ROBO A PERSONAS,HOMBRE,DIVORCIADO,ECUADOR,
ASESINATO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2020-02-01,REVOLVER            ,ROBO A PERSONAS,MUJER,DIVORCIADO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,RURAL,VIA PUBLICA,2020-02-01,CUCHILLO            ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
FEMICIDIO,ZONA 1,IMBABURA,RURAL,CASA/VILLA,2020-02-01,,SENTIMENTAL,MUJER,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,URBANO,RESTAURANTE,2020-01-30,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 6,MORONA SANTIAGO,URBANO,DISCOTECAS,2020-02-01,CUCHILLO            ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 1,SUCUMBIOS,RURAL,FINCA,2020-02-02,,DEUDAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 6,MORONA SANTIAGO,RURAL,FINCA,2020-02-02,,ROBO DE CARROS,HOMBRE,CASADO,ECUADOR,
HOMICIDIO,ZONA 1,ESMERALDAS,RURAL,FINCA,2020-02-03,,DEUDAS,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-02-04,,AMENAZA,MUJER,DIVORCIADO,ECUADOR,SUPERIOR
HOMICIDIO,ZONA 3,CHIMBORAZO,URBANO,PARQUES Y PLAZAS,2020-02-05,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,RURAL,FINCA,2020-02-07,,ACTOS DE ODIO,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 7,EL ORO,URBANO,HACIENDAS,2020-02-08,MACHETE             ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,LICORERIAS,2020-02-08,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-02-08,,ROBO A PERSONAS,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,HOSPITALES,2020-02-09,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2020-02-06,REVOLVER            ,RIÑAS,HOMBRE,SOLTERO,PERU,
HOMICIDIO,ZONA 3,CHIMBORAZO,RURAL,VIA PUBLICA,2020-02-09,OTRO,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
